               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  98,            0.037721,            0.010599,                   0,             0.86804,                 0.4,             0.49026,              0.2579,            0.052458,           0.0082302,                   0,           0.0096799,           0.0096799,           0.0096799
                  99,             0.03844,            0.013192,                   0,             0.87209,                 0.4,             0.49779,             0.27099,             0.05338,           0.0080478,                   0,           0.0096766,           0.0096766,           0.0096766
                 100,            0.039246,            0.013434,                   0,             0.84751,             0.43333,             0.50519,             0.26022,            0.053754,           0.0081782,                   0,           0.0096733,           0.0096733,           0.0096733
                 101,            0.038045,            0.011739,                   0,             0.84389,             0.36667,              0.4256,             0.23161,            0.054181,           0.0095739,                   0,             0.00967,             0.00967,             0.00967
                 102,            0.038602,            0.012247,                   0,            0.024336,             0.36667,             0.04478,            0.017477,            0.069951,            0.014047,                   0,           0.0096667,           0.0096667,           0.0096667
                 103,            0.035204,            0.013415,                   0,              0.8201,             0.37998,             0.43277,             0.23855,            0.050071,           0.0093751,                   0,           0.0096634,           0.0096634,           0.0096634
                 104,            0.041694,            0.012519,                   0,             0.69621,                 0.4,             0.44118,             0.23616,            0.050221,           0.0095677,                   0,           0.0096601,           0.0096601,           0.0096601
                 105,            0.042287,            0.011742,                   0,             0.56443,             0.38333,             0.35834,             0.17691,            0.054924,            0.010586,                   0,           0.0096568,           0.0096568,           0.0096568
                 106,            0.038125,            0.013059,                   0,             0.27392,            0.066667,            0.068501,            0.031497,            0.067393,             0.01391,                   0,           0.0096535,           0.0096535,           0.0096535
                 107,            0.041576,            0.012648,                   0,             0.16182,             0.11667,            0.097142,            0.046519,            0.067806,            0.012204,                   0,           0.0096502,           0.0096502,           0.0096502
                 108,            0.036418,            0.012748,                   0,             0.66317,             0.46667,              0.4188,             0.18726,            0.052155,            0.009568,                   0,           0.0096469,           0.0096469,           0.0096469
                 109,             0.03345,            0.012526,                   0,             0.73126,             0.38333,             0.43329,             0.21212,            0.053977,           0.0096607,                   0,           0.0096436,           0.0096436,           0.0096436
                 110,            0.036924,            0.010264,                   0,             0.55894,             0.40133,             0.37635,             0.17514,            0.052059,            0.010266,                   0,           0.0096403,           0.0096403,           0.0096403
                 111,            0.034953,            0.011539,                   0,             0.26946,             0.16667,             0.13511,            0.048868,            0.059421,            0.013081,                   0,            0.009637,            0.009637,            0.009637
                 112,            0.036654,            0.012678,                   0,             0.48966,             0.16012,             0.16179,            0.065812,            0.060398,            0.012592,                   0,           0.0096337,           0.0096337,           0.0096337
                 113,            0.034008,             0.01141,                   0,             0.59417,                 0.3,             0.35105,              0.1672,            0.052705,            0.010546,                   0,           0.0096304,           0.0096304,           0.0096304
                 114,            0.034893,            0.011611,                   0,             0.65892,             0.48297,             0.50226,              0.2112,            0.051984,           0.0091276,                   0,           0.0096271,           0.0096271,           0.0096271
                 115,            0.035585,            0.010976,                   0,             0.75396,             0.48333,             0.53722,             0.25343,            0.048898,           0.0095372,                   0,           0.0096238,           0.0096238,           0.0096238
                 116,             0.03455,            0.011245,                   0,             0.68702,             0.51225,             0.54047,             0.25492,            0.044425,           0.0093489,                   0,           0.0096205,           0.0096205,           0.0096205
                 117,            0.035354,            0.010873,                   0,             0.29968,             0.16667,             0.13425,            0.074804,            0.058277,            0.013188,                   0,           0.0096172,           0.0096172,           0.0096172
                 118,            0.037654,            0.011874,                   0,             0.60001,                 0.4,             0.37745,             0.19752,            0.052337,           0.0099926,                   0,           0.0096139,           0.0096139,           0.0096139
                 119,            0.035685,            0.011591,                   0,             0.68893,             0.46667,             0.52662,             0.25011,            0.046877,           0.0090313,                   0,           0.0096106,           0.0096106,           0.0096106
                 120,            0.037257,            0.010667,                   0,             0.77842,             0.40998,             0.47348,             0.22096,            0.048856,           0.0095353,                   0,           0.0096073,           0.0096073,           0.0096073
                 121,            0.035914,            0.011641,                   0,             0.56737,             0.41667,              0.4064,             0.18475,            0.048216,            0.010264,                   0,            0.009604,            0.009604,            0.009604
                 122,            0.035028,            0.011335,                   0,             0.50072,             0.48333,             0.44594,             0.22748,            0.044704,           0.0091333,                   0,           0.0096007,           0.0096007,           0.0096007
                 123,            0.033967,            0.012307,                   0,             0.50669,             0.46667,             0.45874,             0.23071,             0.04716,             0.00914,                   0,           0.0095974,           0.0095974,           0.0095974
                 124,            0.036602,            0.011383,                   0,             0.57562,             0.48333,             0.50289,             0.26784,            0.045731,           0.0088687,                   0,           0.0095941,           0.0095941,           0.0095941
                 125,            0.033585,            0.012706,                   0,             0.19531,             0.15785,             0.10304,            0.032475,            0.061014,            0.013074,                   0,           0.0095908,           0.0095908,           0.0095908
                 126,            0.035693,            0.011373,                   0,            0.096585,             0.11667,             0.04186,            0.013193,            0.066963,            0.016181,                   0,           0.0095875,           0.0095875,           0.0095875
                 127,            0.033782,            0.012479,                   0,             0.32096,             0.23333,             0.15744,            0.057353,            0.060717,              0.0131,                   0,           0.0095842,           0.0095842,           0.0095842
                 128,            0.033842,            0.011729,                   0,             0.57883,                0.45,             0.45492,             0.25835,            0.048032,           0.0094719,                   0,           0.0095809,           0.0095809,           0.0095809
                 129,            0.032002,             0.01081,                   0,             0.83379,             0.43333,             0.51669,             0.27631,            0.046932,           0.0090497,                   0,           0.0095776,           0.0095776,           0.0095776
                 130,            0.034322,            0.012086,                   0,              0.5967,             0.36667,             0.38742,             0.18797,            0.048785,           0.0099266,                   0,           0.0095743,           0.0095743,           0.0095743
                 131,             0.03474,            0.010986,                   0,             0.37496,            0.090261,            0.089288,            0.043762,            0.062894,            0.014233,                   0,            0.009571,            0.009571,            0.009571
                 132,            0.031589,            0.011083,                   0,              0.6575,                0.35,             0.34424,             0.19833,            0.054218,           0.0095787,                   0,           0.0095677,           0.0095677,           0.0095677
                 133,            0.034144,            0.010231,                   0,             0.68261,             0.46667,             0.46127,             0.24449,            0.050334,           0.0088475,                   0,           0.0095644,           0.0095644,           0.0095644
                 134,            0.034639,            0.010672,                   0,             0.55819,                 0.5,             0.41259,             0.21214,            0.050685,           0.0096037,                   0,           0.0095611,           0.0095611,           0.0095611
                 135,            0.034434,            0.011151,                   0,              0.6114,             0.41667,             0.40923,             0.22433,            0.047963,           0.0095863,                   0,           0.0095578,           0.0095578,           0.0095578
                 136,            0.033657,             0.01183,                   0,              0.6774,                0.45,              0.4837,             0.26441,            0.046267,           0.0093148,                   0,           0.0095545,           0.0095545,           0.0095545
                 137,            0.032956,            0.012063,                   0,             0.70561,             0.47943,             0.49116,             0.25437,             0.04794,           0.0090909,                   0,           0.0095512,           0.0095512,           0.0095512
                 138,            0.036918,             0.01066,                   0,              0.5551,             0.46667,             0.45248,             0.23876,            0.049089,           0.0096283,                   0,           0.0095479,           0.0095479,           0.0095479
                 139,            0.032222,            0.010598,                   0,             0.57162,             0.46667,             0.48246,             0.28705,            0.048506,            0.008903,                   0,           0.0095446,           0.0095446,           0.0095446
                 140,            0.032055,            0.010928,                   0,             0.68551,             0.41667,             0.48572,             0.26592,            0.050381,           0.0086937,                   0,           0.0095413,           0.0095413,           0.0095413
                 141,            0.034574,            0.012364,                   0,             0.64671,             0.45774,             0.44116,             0.26078,            0.047412,           0.0096433,                   0,            0.009538,            0.009538,            0.009538
